function,mode,fan,temp_c,coolix,xt_frame
Cool,cool,high,27,0xB23F90,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xEA, 0xEE, 0xEE, 0xEE, 0xAE, 0xAA, 0xAE, 0xAE, 0xAA, 0xBB, 0xEE, 0xEE, 0xFE}"
Cool,cool,high,28,0xB23F80,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xEA, 0xEE, 0xEE, 0xEE, 0xAE, 0xAA, 0xAE, 0xAA, 0xEA, 0xEE, 0xEE, 0xEE, 0xFE}"
Cool,cool,high,29,0xB23FA0,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xEA, 0xEE, 0xEE, 0xEE, 0xAE, 0xAA, 0xAE, 0xAB, 0xAA, 0xEB, 0xEE, 0xEE, 0xFE}"
Cool,cool,high,30,0xB23FB0,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xEA, 0xEE, 0xEE, 0xEE, 0xAE, 0xAA, 0xAE, 0xBB, 0xAA, 0xAE, 0xEE, 0xEE, 0xFE}"
Heat,heat,auto,17,0xB2BF0C,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xBB, 0xBB, 0xBB, 0xAE, 0xAA, 0xAA, 0xEE, 0xEA, 0xEE, 0xAE, 0xEE, 0xFE}"
Heat,heat,auto,18,0xB2BF1C,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xBB, 0xBB, 0xBB, 0xAE, 0xAA, 0xAA, 0xBB, 0xAB, 0xBB, 0xAB, 0xEE, 0xFE}"
Heat,heat,auto,19,0xB2BF3C,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xBB, 0xBB, 0xBB, 0xAE, 0xAA, 0xEA, 0xEE, 0xAE, 0xEE, 0xAA, 0xEE, 0xFE}"
Heat,heat,auto,20,0xB2BF2C,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xBB, 0xBB, 0xBB, 0xAE, 0xAA, 0xEA, 0xBA, 0xAB, 0xBB, 0xAE, 0xEE, 0xFE}"
Heat,heat,auto,21,0xB2BF6C,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xBB, 0xBB, 0xBB, 0xAE, 0xAA, 0xBA, 0xEB, 0xAE, 0xAE, 0xAE, 0xEE, 0xFE}"
Heat,heat,auto,22,0xB2BF7C,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xBB, 0xBB, 0xBB, 0xAE, 0xAA, 0xBA, 0xBB, 0xBB, 0xBA, 0xAA, 0xEE, 0xFE}"
